사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Oct-25,2호선,228,서울대입구(관악구청),4463,30,25877,2509,41348,13777,115540,25699,160611,66230,110313,61219,69023,51213,60812,44232,68902,49286,70143,54222,63539,54963,67448,63911,73604,74712,81801,103290,87561,153812,52454,124763,43638,83489,44001,77072,36809,76225,19739,44734,3416,18186,0,2462,0,0,0,0
Oct-25,2호선,229,봉천,118,5,14294,1460,27106,6576,77713,12171,111628,25001,71682,20495,42607,19449,35612,22740,37997,24042,37250,26747,32985,29547,30247,38496,32297,45554,32617,57345,32205,84803,19860,68512,16094,44771,13619,41040,10457,38227,4445,22200,842,7275,0,246,0,0,0,0
Oct-25,2호선,230,신림,215,12,34956,3769,63208,17526,169040,27187,245617,41996,155423,40296,92968,40272,79489,45753,83772,51025,78245,57907,72763,64010,69909,81445,74379,100882,76109,134034,76377,204504,52492,179884,43708,122138,39865,115655,33974,110688,19255,71207,4235,19391,2,612,0,0,0,0
Oct-25,2호선,231,신대방,298,3,22544,1776,32025,8809,82607,14030,118347,22831,76949,17237,45949,17940,37803,19382,38716,23160,36136,26146,31770,29833,31285,39063,33650,46802,34142,60162,29911,83886,19624,71704,14813,52760,12083,54481,9629,50992,4555,29582,781,7869,1,225,0,0,0,0
Oct-25,2호선,232,구로디지털단지,490,18,35638,4199,48389,19018,127541,72698,169221,193887,107964,123942,69230,56579,63587,46783,71103,51001,68478,63825,63262,60004,71440,67907,84255,81943,127676,108321,177952,147734,89240,119302,56738,83877,45339,80321,35011,76920,17019,45038,2897,12492,1,358,2,2,0,0
Oct-25,2호선,233,대림(구로구청),813,18,31620,3159,27300,10357,62734,21510,88485,47634,61130,32226,41152,33355,35672,37706,38162,34803,37779,34028,35419,35509,36357,43727,39466,50151,43050,61044,46014,64611,24866,48843,18378,38794,13441,47418,10071,44280,5095,21225,729,5235,3,180,0,0,0,0
Oct-25,2호선,234,신도림,4059,22,33972,5428,51083,18523,127162,38878,135246,93986,87053,65223,63849,51819,62936,53843,70422,57722,69961,64462,70198,63348,73643,72444,79617,86001,96720,109059,106960,151066,62603,109003,49955,70432,47428,66987,44232,63371,18947,45597,2309,20131,19,2399,0,0,0,0
Oct-25,2호선,235,문래,27,0,3796,3118,13722,10628,40194,35961,46122,120482,27238,57022,20888,24400,20597,22681,24942,25878,26144,28288,27108,27151,29558,29022,36416,34877,62164,44363,99665,61945,37929,40478,28691,22498,29214,19175,27154,17050,11937,10102,1978,3138,1,149,0,0,0,0
Oct-25,2호선,236,영등포구청,63,2,4873,3963,12504,14287,37631,36519,47635,112354,30292,50875,23504,27101,24900,24762,27607,25629,29250,27886,29347,26441,31979,28001,38613,31795,57704,39817,91657,56112,35764,37635,26976,23333,23925,21248,17736,19351,8425,12938,1405,4052,3,249,0,0,0,0
Oct-25,2호선,237,당산,66,11,7754,3650,17010,15797,42224,26301,53395,68228,33553,29993,26114,15950,24871,16288,25529,19026,23796,21638,22262,22623,24013,26896,29784,34622,39981,48484,51689,68871,25096,46726,19404,32889,18654,31060,15560,27827,8052,18271,1335,4211,1,205,0,0,0,0
